Date,open,high,low,close,volume,dividends,splits
1991-01-22,6.5,6.625,6.4375,6.53125,1608800,0.0,0.0
1991-01-23,6.5,6.59375,6.4375,6.5,886400,0.0,0.0
1991-01-24,6.5625,6.9375,6.5625,6.90625,1513200,0.0,0.0
1991-01-25,7.0,7.25,7.0,7.03125,2222800,0.0,0.0
1991-01-28,7.125,7.28125,7.03125,7.25,1033600,0.0,0.0
1991-01-29,7.21875,7.25,7.0,7.03125,739600,0.0,0.0
1991-01-30,7.0,7.15625,6.9375,7.15625,721200,0.0,0.0
1991-01-31,7.125,7.15625,6.90625,7.03125,856400,0.0,0.0
1991-02-01,7.0625,7.21875,6.90625,7.0625,1544400,0.0,0.0
1991-02-04,7.0625,7.75,7.03125,7.65625,3479200,0.0,0.0
1991-02-05,7.71875,8.03125,7.6875,7.9375,3449200,0.0,0.0
1991-02-06,7.8125,7.96875,7.78125,7.96875,1765200,0.0,0.0
1991-02-07,7.8125,8.0,7.59375,7.6875,1718800,0.0,0.0
1991-02-08,7.625,7.71875,7.46875,7.6875,979200,0.0,0.0
1991-02-11,7.65625,8.125,7.625,8.125,1005200,0.0,0.0
1991-02-12,8.0,8.25,7.875,8.15625,2099600,0.0,0.0
1991-02-13,8.125,8.34375,8.125,8.21875,1311200,0.0,0.0
1991-02-14,8.15625,8.21875,7.875,7.875,977200,0.0,0.0
1991-02-15,7.90625,8.125,7.90625,8.09375,1836000,0.0,0.0
1991-02-19,7.96875,8.0625,7.90625,7.9375,953600,0.0,0.0
1991-02-20,7.75,7.8125,7.59375,7.59375,1082000,0.0,0.0
1991-02-21,7.53125,7.6875,7.25,7.34375,1120800,0.0,0.0
1991-02-22,7.375,7.625,7.34375,7.5,1033600,0.0,0.0
1991-02-25,7.65625,7.75,7.53125,7.59375,597200,0.0,0.0
1991-02-26,7.5625,7.59375,7.28125,7.34375,639200,0.0,0.0
1991-02-27,7.40625,7.40625,7.34375,7.375,1263200,0.0,0.0
1991-02-28,7.40625,7.4375,7.3125,7.3125,893200,0.0,0.0
1991-03-01,7.34375,7.625,7.21875,7.59375,2846400,0.0,0.0
1991-03-04,7.625,7.65625,7.53125,7.5625,2053200,0.0925,0.0
1991-03-05,7.5625,7.875,7.53125,7.84375,4264800,0.0,0.0
1991-03-06,7.90625,7.96875,7.75,7.84375,1831600,0.0,0.0
1991-03-07,7.78125,7.84375,7.53125,7.5625,5932000,0.0,0.0
1991-03-08,7.53125,7.5625,7.46875,7.5,1204000,0.0,0.0
1991-03-11,7.5625,7.5625,7.5,7.53125,1572400,0.0,0.0
1991-03-12,7.5,7.59375,7.5,7.53125,738000,0.0,0.0
1991-03-13,7.46875,7.6875,7.46875,7.6875,795200,0.0,0.0
1991-03-14,7.875,8.0625,7.84375,7.875,2176400,0.0,0.0
1991-03-15,7.8125,7.84375,7.65625,7.84375,1673600,0.0,0.0
1991-03-18,7.8125,7.84375,7.6875,7.75,759200,0.0,0.0
1991-03-19,7.625,7.71875,7.53125,7.53125,445600,0.0,0.0
1991-03-20,7.40625,7.5,7.34375,7.4375,1009200,0.0,0.0
1991-03-21,7.4375,7.53125,7.4375,7.4375,1405200,0.0,0.0
1991-03-22,7.34375,7.40625,7.28125,7.375,2001200,0.0,0.0
1991-03-25,7.40625,7.9375,7.40625,7.84375,1469600,0.0,0.0
1991-03-26,8.09375,8.5625,8.03125,8.4375,2969600,0.0,0.0
1991-03-27,8.84375,8.875,8.65625,8.6875,3051600,0.0,0.0
1991-03-28,8.625,8.6875,8.59375,8.65625,1393200,0.0,0.0
1991-04-01,8.59375,8.65625,8.5625,8.65625,712400,0.0,0.0
1991-04-02,8.625,8.8125,8.59375,8.8125,754800,0.0,0.0
1991-04-03,8.8125,9.25,8.78125,9.03125,1403600,0.0,0.0
1991-04-04,9.0625,9.21875,9.03125,9.1875,873200,0.0,0.0
1991-04-05,9.25,9.375,9.125,9.1875,1137200,0.0,0.0
1991-04-08,9.15625,9.1875,8.90625,8.9375,813600,0.0,0.0
1991-04-09,8.84375,8.875,8.71875,8.78125,600800,0.0,0.0
1991-04-10,8.8125,8.8125,8.65625,8.65625,451600,0.0,0.0
1991-04-11,8.6875,8.96875,8.6875,8.96875,587200,0.0,0.0
1991-04-12,9.125,9.21875,9.0625,9.1875,937600,0.0,0.0
1991-04-15,9.125,9.25,8.90625,9.1875,861200,0.0,0.0
1991-04-16,9.25,9.34375,9.09375,9.3125,1023200,0.0,0.0
1991-04-17,9.375,9.75,9.34375,9.75,1953600,0.0,0.0
1991-04-18,9.8125,10.09375,9.78125,10.03125,1605600,0.0,0.0
1991-04-19,9.90625,9.96875,9.84375,9.84375,1030400,0.0,0.0
