Date,open,high,low,close,volume,dividends,splits
1995-10-26,30.875,31.125,30.75,30.875,588400,0.0,0.0
1995-10-27,30.75,30.875,30.625,30.625,550200,0.0,0.0
1995-10-30,30.625,30.875,30.5,30.75,115100,0.0,0.0
1995-10-31,30.875,31.0,30.375,30.375,148300,0.0,0.0
1995-11-01,30.375,30.75,30.25,30.375,118200,0.0,0.0
1995-11-02,30.5,30.625,30.375,30.5,106700,0.0,0.0
1995-11-03,30.5,30.625,30.375,30.375,113700,0.0,0.0
1995-11-06,30.375,30.5,29.75,29.875,327600,0.0,0.0
1995-11-07,30.0,30.0,29.75,29.875,138200,0.0,0.0
1995-11-08,29.875,30.25,29.875,30.25,114900,0.0,0.0
1995-11-09,30.25,30.25,30.0,30.25,201700,0.0,0.0
1995-11-10,30.0,30.0,29.5,29.75,1254800,0.0,0.0
1995-11-13,29.25,29.25,28.75,28.875,368400,0.51,0.0
1995-11-14,28.875,29.25,28.875,29.0,632600,0.0,0.0
1995-11-15,29.0,29.25,29.0,29.25,407900,0.0,0.0
1995-11-16,29.25,29.25,29.0,29.125,462300,0.0,0.0
1995-11-17,29.125,29.25,29.0,29.25,256900,0.0,0.0
1995-11-20,29.125,29.125,28.875,29.0,111000,0.0,0.0
1995-11-21,29.0,29.25,29.0,29.25,414700,0.0,0.0
1995-11-22,29.25,29.25,29.0,29.0,175800,0.0,0.0
1995-11-24,29.0,29.0,28.75,28.875,71000,0.0,0.0
1995-11-27,28.875,29.25,28.875,29.125,230700,0.0,0.0
1995-11-28,29.0,29.25,28.75,29.25,173100,0.0,0.0
1995-11-29,29.25,29.25,29.125,29.25,176700,0.0,0.0
1995-11-30,29.25,29.375,28.75,28.75,282100,0.0,0.0
1995-12-01,28.75,29.0,28.375,28.75,504700,0.0,0.0
1995-12-04,28.875,29.25,28.875,29.125,453200,0.0,0.0
1995-12-05,29.125,29.875,29.125,29.625,722600,0.0,0.0
1995-12-06,29.75,30.0,29.625,29.75,316200,0.0,0.0
1995-12-07,29.625,29.75,29.25,29.25,258300,0.0,0.0
1995-12-08,29.5,29.625,29.25,29.375,220700,0.0,0.0
1995-12-11,29.375,29.375,29.125,29.25,102400,0.0,0.0
1995-12-12,29.125,29.5,29.125,29.5,283800,0.0,0.0
1995-12-13,29.5,30.125,29.375,30.0,678700,0.0,0.0
1995-12-14,30.125,30.625,30.0,30.375,499900,0.0,0.0
1995-12-15,30.375,30.5,30.25,30.375,770200,0.0,0.0
1995-12-18,30.5,30.875,30.25,30.75,648900,0.0,0.0
1995-12-19,30.75,31.25,30.625,31.125,747300,0.0,0.0
1995-12-20,31.125,31.25,30.875,31.0,222300,0.0,0.0
1995-12-21,31.0,31.125,31.0,31.125,373500,0.0,0.0
1995-12-22,31.125,31.25,31.0,31.125,189000,0.0,0.0
1995-12-26,31.125,31.375,31.0,31.375,147900,0.0,0.0
1995-12-27,31.25,31.375,31.125,31.125,81100,0.0,0.0
1995-12-28,31.25,31.75,31.125,31.625,363000,0.0,0.0
