Date,open,high,low,close,volume,dividends,splits
1992-10-13,1.5,1.5625,1.453125,1.453125,3958400,0.0,0.0
1992-10-14,1.46875,1.5,1.4375,1.453125,2198400,0.0,0.0
1992-10-15,1.453125,1.46875,1.421875,1.4375,1567200,0.0,0.0
1992-10-16,1.4375,1.46875,1.421875,1.46875,1600000,0.0,0.0
1992-10-19,1.46875,1.484375,1.421875,1.46875,2010400,0.0,0.0
1992-10-20,1.46875,1.46875,1.4375,1.46875,1701600,0.0,0.0
1992-10-21,1.46875,1.484375,1.453125,1.46875,1984000,0.0,0.0
1992-10-22,1.46875,1.46875,1.453125,1.453125,545600,0.0,0.0
1992-10-23,1.46875,1.5,1.46875,1.484375,792800,0.0,0.0
1992-10-26,1.5,1.53125,1.5,1.53125,1128000,0.0,0.0
1992-10-27,1.5625,1.640625,1.53125,1.59375,3316000,0.0,0.0
1992-10-28,1.59375,1.640625,1.59375,1.625,1906400,0.0,0.0
1992-10-29,1.625,1.625,1.59375,1.609375,1385600,0.0,0.0
1992-10-30,1.609375,1.625,1.59375,1.59375,2965600,0.0,0.0
1992-11-02,1.625,1.703125,1.625,1.703125,2276000,0.0,0.0
1992-11-03,1.703125,1.734375,1.65625,1.65625,2392800,0.0,0.0
1992-11-04,1.65625,1.6875,1.640625,1.65625,2569600,0.0,0.0
1992-11-05,1.671875,1.671875,1.65625,1.671875,968800,0.0,0.0
1992-11-06,1.65625,1.671875,1.65625,1.671875,806400,0.0,0.0
1992-11-09,1.671875,1.6875,1.65625,1.65625,941600,0.0,0.0
1992-11-10,1.640625,1.65625,1.625,1.640625,1612000,0.0,0.0
1992-11-11,1.640625,1.6875,1.625,1.671875,1976000,0.0,0.0
1992-11-12,1.703125,1.71875,1.640625,1.65625,3495200,0.0,0.0
1992-11-13,1.65625,1.703125,1.640625,1.703125,3349600,0.0,0.0
1992-11-16,1.703125,1.703125,1.671875,1.6875,1214400,0.0,0.0
1992-11-17,1.671875,1.6875,1.65625,1.6875,1452800,0.0,0.0
1992-11-18,1.6875,1.6875,1.65625,1.671875,1254400,0.0,0.0
1992-11-19,1.671875,1.6875,1.671875,1.6875,2879200,0.0,0.0
1992-11-20,1.703125,1.75,1.6875,1.71875,3696000,0.0,0.0
1992-11-23,1.703125,1.78125,1.703125,1.765625,3138400,0.0,0.0
1992-11-24,1.8125,1.859375,1.796875,1.828125,4555200,0.0,0.0
1992-11-25,1.828125,1.875,1.828125,1.859375,3282400,0.0,0.0
1992-11-27,1.875,1.890625,1.859375,1.859375,959200,0.0,0.0
1992-11-30,1.84375,1.890625,1.8125,1.8125,3484800,0.0,0.0
1992-12-01,1.8125,1.84375,1.796875,1.84375,2076000,0.0,0.0
1992-12-02,1.859375,1.90625,1.84375,1.890625,2459200,0.0,0.0
1992-12-03,1.890625,1.984375,1.875,1.96875,4121600,0.0,0.0
1992-12-04,1.984375,1.984375,1.9375,1.9375,1665600,0.0,0.0
1992-12-07,1.9375,1.953125,1.90625,1.921875,1188800,0.0,0.0
1992-12-08,1.90625,1.921875,1.890625,1.90625,6721600,0.0,0.0
1992-12-09,1.90625,1.921875,1.875,1.875,3788000,0.0,0.0
