Date,open,high,low,close,volume,dividends,splits
1997-06-19,18.288663864135742,18.7829532623291,18.01405906677246,18.563268661499023,1802137,0.0,0.0
1997-06-20,18.673110961914062,19.05755615234375,18.61819076538086,19.05755615234375,2745311,0.0,0.0
1997-06-23,19.05755615234375,19.05755615234375,18.343584060668945,18.39850616455078,1099308,0.0,0.0
1997-06-24,18.563268661499023,18.61819076538086,18.343584060668945,18.343584060668945,1247931,0.0,0.0
1997-06-25,18.343584060668945,18.39850616455078,18.23374366760254,18.343584060668945,968438,0.0,0.0
1997-06-26,18.343584060668945,18.673110961914062,18.1239013671875,18.1513614654541,644108,0.0,0.0
1997-06-27,18.178821563720703,18.316125869750977,18.178821563720703,18.23374366760254,623624,0.0,0.0
1997-06-30,18.26120376586914,18.343584060668945,17.98659896850586,18.343584060668945,788862,0.0,0.0
1997-07-01,18.343584060668945,18.425966262817383,18.23374366760254,18.39850616455078,948182,0.0,0.0
1997-07-02,18.39850616455078,18.425966262817383,18.288663864135742,18.39850616455078,660268,0.0,0.0
1997-07-03,18.453426361083984,18.64565086364746,18.39850616455078,18.535808563232422,736969,0.0,0.0
1997-07-07,18.48088836669922,18.50834846496582,18.316125869750977,18.39850616455078,825278,0.0,0.0
1997-07-08,18.425966262817383,18.453426361083984,18.1513614654541,18.206283569335938,1158256,0.0,0.0
1997-07-09,18.206283569335938,18.316125869750977,17.959138870239258,18.1513614654541,1566798,0.087873,0.0
1997-07-10,18.178821563720703,18.48088836669922,18.1513614654541,18.48088836669922,698277,0.0,0.0
1997-07-11,18.39850616455078,18.61819076538086,18.23374366760254,18.61819076538086,658219,0.0,0.0
1997-07-14,18.563268661499023,18.563268661499023,18.343584060668945,18.48088836669922,555799,0.0,0.0
1997-07-15,18.50834846496582,18.590728759765625,18.23374366760254,18.316125869750977,1568847,0.0,0.0
1997-07-16,18.26120376586914,18.453426361083984,18.23374366760254,18.26120376586914,1627795,0.0,0.0
1997-07-17,18.23374366760254,18.288663864135742,18.01405906677246,18.041519165039062,1125027,0.0,0.0
1997-07-18,17.959138870239258,18.343584060668945,17.821836471557617,18.041519165039062,816856,0.0,0.0
1997-07-21,17.931678771972656,18.068981170654297,17.87675666809082,17.904218673706055,426067,0.0,0.0
1997-07-22,17.959138870239258,18.64565086364746,17.959138870239258,18.64565086364746,450193,0.0,0.0
1997-07-23,18.64565086364746,18.64565086364746,18.23374366760254,18.343584060668945,691904,0.0,0.0
1997-07-24,18.39850616455078,18.50834846496582,18.0964412689209,18.50834846496582,699870,0.0,0.0
1997-07-25,18.343584060668945,18.50834846496582,18.26120376586914,18.425966262817383,383506,0.0,0.0
1997-07-28,18.590728759765625,18.590728759765625,18.1513614654541,18.178821563720703,275851,0.0,0.0
1997-07-29,18.23374366760254,18.892793655395508,18.178821563720703,18.865333557128906,1125710,0.0,0.0
1997-07-30,19.55184555053711,19.853910446166992,19.496923446655273,19.71660804748535,3506178,0.0,0.0
1997-07-31,19.771528244018555,21.199472427368164,19.771528244018555,20.5953426361084,3812528,0.0,0.0
1997-08-01,20.622802734375,20.650264739990234,20.183435440063477,20.567882537841797,1678095,0.0,0.0
1997-08-04,20.403120040893555,20.89740753173828,20.155975341796875,20.650264739990234,984142,0.0,0.0
1997-08-05,20.540422439575195,20.86994743347168,20.540422439575195,20.76010513305664,922235,0.0,0.0
1997-08-06,20.650264739990234,20.815025329589844,20.430580139160156,20.430580139160156,1391774,0.0,0.0
1997-08-07,20.458040237426758,20.952329635620117,20.458040237426758,20.89740753173828,1440708,0.0,0.0
1997-08-08,20.540422439575195,20.76010513305664,20.210895538330078,20.650264739990234,1190576,0.0,0.0
1997-08-11,20.650264739990234,20.650264739990234,20.375659942626953,20.458040237426758,1007813,0.0,0.0
1997-08-12,20.51296043395996,20.650264739990234,20.04613494873047,20.04613494873047,652302,0.0,0.0
1997-08-13,20.183435440063477,20.183435440063477,19.524385452270508,19.524385452270508,1089976,0.0,0.0
1997-08-14,19.66168785095215,20.293277740478516,19.66168785095215,20.210895538330078,906986,0.0,0.0
1997-08-15,19.991212844848633,20.210895538330078,19.991212844848633,20.128515243530273,924284,0.0,0.0
1997-08-18,20.073593139648438,20.128515243530273,19.96375274658203,20.128515243530273,1320080,0.0,0.0
1997-08-19,20.210895538330078,20.375659942626953,19.991212844848633,20.210895538330078,1713828,0.0,0.0
1997-08-20,20.183435440063477,20.430580139160156,19.96375274658203,20.403120040893555,1020558,0.0,0.0
1997-08-21,20.403120040893555,20.48550033569336,19.96375274658203,20.018672943115234,701008,0.0,0.0
1997-08-22,19.771528244018555,19.881370544433594,19.634227752685547,19.853910446166992,476367,0.0,0.0
1997-08-25,19.881370544433594,20.04613494873047,19.57930564880371,19.606765747070312,685531,0.0,0.0
1997-08-26,19.634227752685547,19.82645034790039,19.57930564880371,19.66168785095215,722858,0.0,0.0
1997-08-27,19.66168785095215,19.744068145751953,19.55184555053711,19.744068145751953,372809,0.0,0.0
1997-08-28,19.634227752685547,19.744068145751953,19.496923446655273,19.55184555053711,473408,0.0,0.0
1997-08-29,19.55184555053711,19.66168785095215,19.387083053588867,19.524385452270508,429254,0.0,0.0
1997-09-02,19.524385452270508,20.04613494873047,19.469463348388672,19.606765747070312,501175,0.0,0.0
1997-09-03,19.332162857055664,19.771528244018555,19.277240753173828,19.55184555053711,922918,0.0,0.0
1997-09-04,19.57930564880371,20.48550033569336,19.469463348388672,20.265817642211914,1473027,0.0,0.0
1997-09-05,20.320737838745117,20.320737838745117,19.908830642700195,20.04613494873047,574007,0.0,0.0
1997-09-08,20.04613494873047,20.210895538330078,19.908830642700195,19.93629264831543,298156,0.0,0.0
1997-09-09,19.93629264831543,20.183435440063477,19.853910446166992,20.183435440063477,517335,0.0,0.0
1997-09-10,20.128515243530273,20.155975341796875,19.771528244018555,19.798988342285156,827554,0.0,0.0
1997-09-11,19.771528244018555,20.183435440063477,19.68914794921875,19.96375274658203,875350,0.0,0.0
1997-09-12,19.96375274658203,20.430580139160156,19.798988342285156,20.238357543945312,1221529,0.0,0.0
1997-09-15,20.210895538330078,20.677724838256836,20.210895538330078,20.458040237426758,1291175,0.0,0.0
1997-09-16,20.5953426361084,20.677724838256836,20.430580139160156,20.677724838256836,1103405,0.0,0.0
1997-09-17,20.705184936523438,21.00724983215332,20.705184936523438,20.86994743347168,962520,0.0,0.0
1997-09-18,20.924867630004883,21.062170028686523,20.787565231323242,20.952329635620117,853955,0.0,0.0
1997-09-19,20.924867630004883,21.034709930419922,20.76010513305664,20.924867630004883,1142097,0.0,0.0
1997-09-22,20.97978973388672,20.97978973388672,20.650264739990234,20.76010513305664,455883,0.0,0.0
1997-09-23,20.677724838256836,20.86994743347168,20.458040237426758,20.622802734375,509824,0.0,0.0
1997-09-24,20.705184936523438,20.705184936523438,20.265817642211914,20.265817642211914,1238372,0.0,0.0
1997-09-25,20.293277740478516,20.677724838256836,20.018672943115234,20.403120040893555,941126,0.0,0.0
