Date,open,high,low,close,volume,dividends,splits
1990-12-04,2.90625,3.03125,2.90625,3.03125,1666400,0.0,0.0
1990-12-05,3.03125,3.125,2.96875,3.109375,1456800,0.0,0.0
1990-12-06,3.09375,3.1875,3.09375,3.15625,716000,0.0,0.0
1990-12-07,3.15625,3.15625,3.09375,3.09375,528000,0.0,0.0
1990-12-10,3.15625,3.15625,3.09375,3.15625,86400,0.0,0.0
1990-12-11,3.09375,3.125,3.0625,3.0625,524000,0.0,0.0
1990-12-12,3.09375,3.09375,3.03125,3.09375,121600,0.0,0.0
1990-12-13,3.0625,3.09375,3.03125,3.0625,840000,0.0,0.0
1990-12-14,3.015625,3.0625,3.0,3.0,1440800,0.0,0.0
1990-12-17,3.0,3.0625,2.96875,3.0625,401600,0.0,0.0
1990-12-18,3.03125,3.03125,2.96875,3.0,273600,0.0,0.0
1990-12-19,3.0,3.21875,2.96875,3.15625,861600,0.0,0.0
1990-12-20,3.15625,3.21875,3.0625,3.15625,1389600,0.0,0.0
1990-12-21,3.15625,3.25,3.15625,3.1875,1172800,0.01625,0.0
1990-12-24,3.21875,3.25,3.1875,3.1875,1154400,0.0,0.0
1990-12-26,3.1875,3.25,3.1875,3.25,36800,0.0,0.0
1990-12-27,3.1875,3.25,3.1875,3.21875,401600,0.0,0.0
1990-12-28,3.1875,3.28125,3.1875,3.21875,1020000,0.0,0.0
1990-12-31,3.21875,3.28125,3.21875,3.21875,453600,0.0,0.0
1991-01-02,3.21875,3.28125,3.21875,3.265625,1804800,0.0,0.0
1991-01-03,3.25,3.28125,3.1875,3.25,1880000,0.0,0.0
1991-01-04,3.28125,3.28125,3.21875,3.25,515200,0.0,0.0
1991-01-07,3.21875,3.25,3.125,3.125,1128000,0.0,0.0
1991-01-08,3.1875,3.1875,3.0625,3.09375,2101600,0.0,0.0
1991-01-09,3.09375,3.15625,3.0625,3.09375,927200,0.0,0.0
1991-01-10,3.09375,3.21875,3.09375,3.15625,2980000,0.0,0.0
1991-01-11,3.15625,3.1875,3.125,3.171875,2871200,0.0,0.0
1991-01-14,3.125,3.125,3.0625,3.125,925600,0.0,0.0
1991-01-15,3.09375,3.15625,3.0625,3.15625,1853600,0.0,0.0
1991-01-16,3.09375,3.21875,3.09375,3.203125,3898400,0.0,0.0
1991-01-17,3.28125,3.375,3.21875,3.375,2571200,0.0,0.0
1991-01-18,3.3125,3.5,3.28125,3.5,3773600,0.0,0.0
1991-01-21,3.40625,3.46875,3.40625,3.4375,2969600,0.0,0.0
1991-01-22,3.46875,3.46875,3.40625,3.46875,2519200,0.0,0.0
1991-01-23,3.40625,3.53125,3.40625,3.53125,3572000,0.0,0.0
1991-01-24,3.53125,3.703125,3.46875,3.625,2813600,0.0,0.0
1991-01-25,3.59375,3.71875,3.59375,3.671875,922400,0.0,0.0
1991-01-28,3.6875,3.6875,3.53125,3.59375,1620800,0.0,0.0
1991-01-29,3.53125,3.59375,3.53125,3.5625,1845600,0.0,0.0
1991-01-30,3.53125,3.703125,3.53125,3.59375,6431200,0.0,0.0
1991-01-31,3.65625,3.75,3.65625,3.75,2060800,0.0,0.0
1991-02-01,3.75,3.75,3.59375,3.640625,2498400,0.0,0.0
1991-02-04,3.625,3.8125,3.625,3.78125,3602400,0.0,0.0
1991-02-05,3.8125,3.84375,3.75,3.796875,2232000,0.0,0.0
1991-02-06,3.75,4.0,3.75,4.0,2000000,0.0,0.0
1991-02-07,3.9375,4.0,3.875,3.9375,852000,0.0,0.0
1991-02-08,3.84375,3.9375,3.84375,3.90625,789600,0.0,0.0
1991-02-11,3.90625,3.96875,3.875,3.90625,879200,0.0,0.0
1991-02-12,3.96875,3.96875,3.84375,3.875,2060800,0.0,0.0
1991-02-13,3.875,3.875,3.78125,3.84375,308000,0.0,0.0
1991-02-14,3.84375,3.84375,3.75,3.78125,1434400,0.0,0.0
1991-02-15,3.84375,3.9375,3.78125,3.875,1057600,0.0,0.0
1991-02-19,3.890625,3.9375,3.875,3.90625,1679200,0.0,0.0
1991-02-20,3.90625,3.90625,3.75,3.75,912000,0.0,0.0
1991-02-21,3.6875,3.78125,3.6875,3.78125,794400,0.0,0.0
1991-02-22,3.71875,3.875,3.71875,3.875,704800,0.0,0.0
1991-02-25,3.84375,3.90625,3.84375,3.90625,231200,0.0,0.0
1991-02-26,3.84375,3.984375,3.84375,3.96875,962400,0.0,0.0
1991-02-27,3.953125,4.1875,3.9375,4.1875,809600,0.0,0.0
1991-02-28,4.15625,4.3125,4.15625,4.3125,3841600,0.0,0.0
1991-03-01,4.25,4.40625,4.25,4.40625,1289600,0.0,0.0
1991-03-04,4.34375,4.40625,4.21875,4.28125,824000,0.0,0.0
1991-03-05,4.21875,4.34375,4.21875,4.28125,2116800,0.0,0.0
1991-03-06,4.34375,4.40625,4.15625,4.15625,1153600,0.0,0.0
1991-03-07,4.125,4.28125,4.125,4.25,833600,0.0,0.0
1991-03-08,4.21875,4.34375,4.21875,4.28125,753600,0.0,0.0
1991-03-11,4.28125,4.34375,4.25,4.265625,498400,0.0,0.0
1991-03-12,4.21875,4.28125,4.125,4.125,1931200,0.0,0.0
1991-03-13,4.125,4.21875,4.125,4.21875,459200,0.0,0.0
1991-03-14,4.25,4.28125,4.1875,4.21875,106400,0.0,0.0
1991-03-15,4.21875,4.21875,4.15625,4.21875,1263200,0.0,0.0
1991-03-18,4.21875,4.5,4.1875,4.34375,1678400,0.0,0.0
1991-03-19,4.3125,4.53125,4.25,4.53125,788800,0.0,0.0
1991-03-20,4.46875,4.53125,4.4375,4.5,377600,0.0,0.0
1991-03-21,4.53125,4.6875,4.5,4.6875,2236000,0.0,0.0
1991-03-22,4.65625,4.6875,4.5625,4.625,1286400,0.0,0.0
1991-03-25,4.625,4.71875,4.59375,4.6875,883200,0.0,0.0
1991-03-26,4.65625,4.875,4.65625,4.84375,1555200,0.0,0.0
1991-03-27,4.84375,4.9375,4.84375,4.875,804800,0.01625,0.0
1991-03-28,4.96875,5.0625,4.90625,5.0625,634400,0.0,0.0
1991-04-01,4.96875,5.0625,4.90625,5.0,1844800,0.0,0.0
1991-04-02,5.0,5.0,4.9375,5.0,2044000,0.0,0.0
1991-04-03,4.96875,5.0625,4.96875,5.0625,1321600,0.0,0.0
1991-04-04,5.0,5.0625,5.0,5.03125,1937600,0.0,0.0
1991-04-05,5.0,5.0625,4.96875,4.96875,1155200,0.0,0.0
1991-04-08,4.96875,5.03125,4.96875,5.0,818400,0.0,0.0
1991-04-09,4.96875,5.03125,4.9375,4.96875,1341600,0.0,0.0
1991-04-10,4.90625,4.96875,4.75,4.78125,1244800,0.0,0.0
1991-04-11,4.8125,4.875,4.75,4.8125,1004000,0.0,0.0
1991-04-12,4.8125,4.875,4.75,4.78125,866400,0.0,0.0
1991-04-15,4.75,4.8125,4.75,4.765625,822400,0.0,0.0
1991-04-16,4.75,4.78125,4.71875,4.71875,1020000,0.0,0.0
1991-04-17,4.78125,4.78125,4.6875,4.6875,1616800,0.0,0.0
1991-04-18,4.75,4.75,4.59375,4.625,964800,0.0,0.0
1991-04-19,4.65625,4.65625,4.59375,4.65625,314400,0.0,0.0
1991-04-22,4.625,4.625,4.53125,4.625,833600,0.0,0.0
1991-04-23,4.5625,4.625,4.5625,4.625,904800,0.0,0.0
1991-04-24,4.59375,4.71875,4.59375,4.71875,368000,0.0,0.0
1991-04-25,4.65625,4.8125,4.65625,4.75,1076800,0.0,0.0
1991-04-26,4.78125,4.78125,4.71875,4.75,673600,0.0,0.0
1991-04-29,4.71875,4.84375,4.71875,4.78125,990400,0.0,0.0
1991-04-30,4.75,4.84375,4.71875,4.75,1078400,0.0,0.0
1991-05-01,4.75,4.84375,4.75,4.84375,508800,0.0,0.0
1991-05-02,4.875,4.90625,4.84375,4.90625,956000,0.0,0.0
1991-05-03,4.875,4.875,4.78125,4.8125,547200,0.0,0.0
1991-05-06,4.78125,4.8125,4.78125,4.8125,689600,0.0,0.0
1991-05-07,4.84375,4.84375,4.6875,4.6875,940800,0.0,0.0
1991-05-08,4.6875,4.75,4.625,4.625,150400,0.0,0.0
1991-05-09,4.6875,4.75,4.65625,4.6875,272800,0.0,0.0
1991-05-10,4.78125,4.78125,4.71875,4.71875,422400,0.0,0.0
1991-05-13,4.75,4.75,4.625,4.6875,623200,0.0,0.0
1991-05-14,4.65625,4.671875,4.59375,4.625,839200,0.0,0.0
1991-05-15,4.65625,4.65625,4.375,4.375,587200,0.0,0.0
1991-05-16,4.5,4.53125,4.40625,4.484375,2457600,0.0,0.0
1991-05-17,4.53125,4.53125,4.46875,4.5,276000,0.0,0.0
1991-05-20,4.5,4.59375,4.5,4.5625,599200,0.0,0.0
1991-05-21,4.5,4.59375,4.5,4.53125,668800,0.0,0.0
1991-05-22,4.5625,4.6875,4.5625,4.6875,288000,0.0,0.0
1991-05-23,4.6875,4.71875,4.59375,4.625,729600,0.0,0.0
