Date,open,high,low,close,volume,dividends,splits
1996-10-31,18.375,18.375,17.9375,18.0625,501600,0.0,0.0
1996-11-01,18.125,18.1875,17.8125,17.9375,235800,0.0,0.0
1996-11-04,17.875,18.3125,17.875,18.0,321400,0.0,0.0
1996-11-05,18.0625,18.125,17.9375,18.0625,559600,0.0,0.0
1996-11-06,18.0,18.375,18.0,18.375,351400,0.0,0.0
1996-11-07,18.375,18.5625,18.375,18.5625,200000,0.0,0.0
1996-11-08,18.5,18.5,18.3125,18.375,57800,0.0,0.0
1996-11-11,18.3125,18.4375,18.1875,18.375,98200,0.0,0.0
1996-11-12,18.375,18.375,18.25,18.3125,205800,0.0,0.0
1996-11-13,18.3125,18.3125,18.0,18.0,132200,0.0,0.0
1996-11-14,18.0,18.25,17.9375,18.125,118600,0.0,0.0
1996-11-15,18.375,18.6875,18.25,18.5625,725600,0.0,0.0
1996-11-18,18.5,18.5625,18.375,18.4375,447800,0.0,0.0
1996-11-19,18.625,18.8125,18.625,18.75,271200,0.0,0.0
1996-11-20,18.75,18.8125,18.6875,18.75,224800,0.0,0.0
1996-11-21,18.8125,18.9375,18.625,18.9375,418000,0.0,0.0
1996-11-22,18.875,18.875,18.625,18.8125,207200,0.0,0.0
1996-11-25,18.8125,18.8125,18.625,18.625,535000,0.0,0.0
1996-11-26,18.625,18.8125,18.625,18.75,276800,0.0,0.0
1996-11-27,18.6875,18.75,18.625,18.6875,158400,0.0,0.0
1996-11-29,18.625,18.75,18.625,18.6875,58400,0.075,0.0
1996-12-02,18.625,19.3125,18.625,19.3125,424200,0.0,0.0
1996-12-03,19.3125,19.4375,19.0,19.0,502400,0.0,0.0
1996-12-04,18.9375,19.0625,18.625,18.875,725800,0.0,0.0
1996-12-05,18.875,19.125,18.875,18.875,414400,0.0,0.0
1996-12-06,18.6875,18.875,18.5625,18.875,344400,0.0,0.0
1996-12-09,18.8125,18.8125,18.6875,18.75,242600,0.0,0.0
1996-12-10,18.8125,19.0625,18.75,19.0,79200,0.0,0.0
1996-12-11,18.8125,19.0625,18.75,19.0625,215600,0.0,0.0
1996-12-12,19.0625,19.3125,19.0,19.25,258800,0.0,0.0
1996-12-13,19.1875,19.1875,18.625,18.625,321800,0.0,0.0
1996-12-16,18.75,18.75,18.1875,18.1875,360400,0.0,0.0
1996-12-17,18.0625,18.5625,18.0,18.5,568200,0.0,0.0
1996-12-18,18.5625,19.0,18.3125,19.0,412800,0.0,0.0
1996-12-19,18.9375,19.5,18.9375,19.5,975600,0.0,0.0
1996-12-20,19.9375,19.9375,18.9375,19.0,686000,0.0,0.0
1996-12-23,19.0625,19.25,18.8125,18.9375,226200,0.0,0.0
1996-12-24,18.9375,19.0,18.75,19.0,115400,0.0,0.0
1996-12-26,18.9375,19.1875,18.9375,19.125,79600,0.0,0.0
1996-12-27,19.125,19.3125,19.125,19.25,54800,0.0,0.0
1996-12-30,19.25,19.375,19.0,19.3125,197400,0.0,0.0
1996-12-31,19.3125,19.3125,19.0,19.0,198400,0.0,0.0
1997-01-02,18.875,18.9375,18.5625,18.5625,302600,0.0,0.0
1997-01-03,18.625,18.875,18.5625,18.875,573600,0.0,0.0
1997-01-06,18.75,18.8125,18.1875,18.3125,447600,0.0,0.0
1997-01-07,18.1875,18.8125,18.1875,18.8125,336600,0.0,0.0
1997-01-08,18.875,19.1875,18.75,18.8125,278000,0.0,0.0
1997-01-09,18.8125,18.8125,18.5625,18.625,228200,0.0,0.0
1997-01-10,18.5,18.6875,18.375,18.625,347800,0.0,0.0
1997-01-13,18.6875,18.6875,18.5625,18.5625,122800,0.0,0.0
1997-01-14,18.625,18.9375,18.625,18.9375,221600,0.0,0.0
1997-01-15,18.8125,19.0,18.8125,18.9375,436000,0.0,0.0
1997-01-16,18.875,19.5625,18.875,19.5,534000,0.0,0.0
1997-01-17,19.4375,19.9375,19.4375,19.9375,953800,0.0,0.0
1997-01-20,19.8125,20.0,19.75,20.0,515800,0.0,0.0
1997-01-21,20.0,20.375,19.875,20.3125,1235800,0.0,0.0
1997-01-22,20.25,20.3125,20.0,20.25,491800,0.0,0.0
1997-01-23,20.1875,20.25,20.0,20.0625,805400,0.0,0.0
1997-01-24,19.9375,19.9375,19.6875,19.6875,429600,0.0,0.0
1997-01-27,19.6875,19.8125,19.5,19.6875,507600,0.0,0.0
1997-01-28,19.625,19.875,19.5,19.5,195000,0.0,0.0
1997-01-29,19.25,19.3125,19.1875,19.1875,411000,0.0,0.0
1997-01-30,19.3125,19.4375,19.1875,19.3125,345200,0.0,0.0
1997-01-31,19.3125,19.3125,19.1875,19.1875,294000,0.0,0.0
1997-02-03,19.25,19.25,18.75,18.9375,231200,0.0,0.0
1997-02-04,19.0,19.125,18.8125,18.875,908800,0.0,0.0
1997-02-05,19.125,19.5,19.0625,19.5,1082000,0.0,0.0
1997-02-06,20.1875,20.5625,20.1875,20.25,2105200,0.0,0.0
1997-02-07,20.375,20.4375,20.0625,20.25,789200,0.0,0.0
1997-02-10,20.375,20.6875,20.3125,20.5625,841000,0.0,0.0
1997-02-11,20.625,21.4375,20.5625,21.125,1161600,0.0,0.0
1997-02-12,21.0,21.0625,20.8125,20.9375,595400,0.0,0.0
1997-02-13,21.0,21.375,20.9375,21.375,422400,0.0,0.0
1997-02-14,21.4375,21.9375,21.375,21.625,474200,0.0,0.0
1997-02-18,21.8125,22.125,21.625,21.6875,1042400,0.0,0.0
1997-02-19,21.625,21.6875,21.4375,21.6875,317000,0.0,0.0
1997-02-20,21.75,21.875,21.625,21.625,371600,0.0,0.0
1997-02-21,21.6875,22.0625,21.625,21.875,926200,0.0,0.0
1997-02-24,21.75,22.125,21.75,22.0,561800,0.0,0.0
1997-02-25,21.9375,22.25,21.9375,22.1875,258000,0.0,0.0
1997-02-26,22.1875,22.4375,21.9375,22.0625,550600,0.0,0.0
1997-02-27,22.0,22.1875,21.9375,22.0,662800,0.0,0.0
1997-02-28,21.8125,22.375,21.8125,22.25,584000,0.075,0.0
1997-03-03,22.125,22.125,21.875,22.0,719000,0.0,0.0
1997-03-04,22.125,22.1875,21.9375,22.0,541000,0.0,0.0
1997-03-05,22.0,22.3125,22.0,22.25,322000,0.0,0.0
1997-03-06,22.4375,22.4375,22.0625,22.1875,642800,0.0,0.0
1997-03-07,22.3125,22.5625,22.25,22.4375,967000,0.0,0.0
1997-03-10,22.5,22.625,22.375,22.625,701000,0.0,0.0
1997-03-11,22.6875,22.6875,22.375,22.4375,581800,0.0,0.0
1997-03-12,22.375,22.4375,22.25,22.375,407600,0.0,0.0
1997-03-13,22.375,22.375,22.1875,22.375,248000,0.0,0.0
1997-03-14,22.3125,22.5,22.25,22.5,568200,0.0,0.0
1997-03-17,22.5,22.6875,22.375,22.625,486600,0.0,0.0
1997-03-18,22.75,22.8125,22.5,22.6875,599400,0.0,0.0
1997-03-19,22.625,22.75,22.4375,22.4375,371200,0.0,0.0
1997-03-20,22.625,23.875,22.625,23.875,1595200,0.0,0.0
1997-03-21,23.75,23.9375,23.6875,23.75,917400,0.0,0.0
1997-03-24,23.8125,23.875,23.3125,23.4375,431400,0.0,0.0
1997-03-25,23.3125,23.4375,23.125,23.125,622200,0.0,0.0
1997-03-26,23.25,23.4375,23.1875,23.25,421600,0.0,0.0
1997-03-27,23.3125,23.3125,22.75,22.75,212600,0.0,0.0
1997-03-31,22.375,22.4375,21.9375,22.0625,456600,0.0,0.0
1997-04-01,21.875,22.125,21.75,22.0625,372000,0.0,0.0
1997-04-02,21.9375,22.0,21.875,21.9375,305800,0.0,0.0
1997-04-03,21.8125,21.9375,21.6875,21.75,353800,0.0,0.0
1997-04-04,21.5625,21.875,21.5,21.875,392400,0.0,0.0
1997-04-07,21.9375,22.0625,21.875,22.0625,654400,0.0,0.0
1997-04-08,22.0,22.1875,21.9375,22.0,627600,0.0,0.0
1997-04-09,22.0,22.0625,21.8125,21.875,463800,0.0,0.0
1997-04-10,21.8125,21.875,21.75,21.75,188200,0.0,0.0
1997-04-11,21.6875,21.6875,21.0625,21.125,752600,0.0,0.0
1997-04-14,21.0,21.0,20.5,20.75,836600,0.0,0.0
1997-04-15,20.6875,21.375,20.6875,21.3125,1000400,0.0,0.0
1997-04-16,21.25,21.5,21.25,21.5,505200,0.0,0.0
1997-04-17,21.375,21.375,20.9375,21.0,431400,0.0,0.0
1997-04-18,21.0,21.125,20.375,20.375,768400,0.0,0.0
1997-04-21,20.4375,20.4375,20.0625,20.125,684800,0.0,0.0
1997-04-22,20.125,20.1875,20.0,20.125,595600,0.0,0.0
1997-04-23,20.125,21.0625,20.125,20.75,827800,0.0,0.0
1997-04-24,20.75,21.0625,20.75,21.0,392000,0.0,0.0
1997-04-25,20.9375,21.125,20.75,21.0,1378800,0.0,0.0
1997-04-28,21.125,21.3125,21.0,21.0625,500600,0.0,0.0
1997-04-29,21.25,21.4375,21.125,21.4375,394200,0.0,0.0
1997-04-30,21.4375,21.75,21.375,21.625,391800,0.0,0.0
1997-05-01,21.6875,21.875,21.625,21.875,611000,0.0,0.0
1997-05-02,21.9375,22.0,21.8125,22.0,365000,0.0,0.0
1997-05-05,22.0625,22.125,21.875,22.125,337600,0.0,0.0
1997-05-06,22.1875,22.25,21.9375,22.0,522000,0.0,0.0
1997-05-07,21.9375,22.09375,21.8125,22.03125,519000,0.0,0.0
1997-05-08,21.96875,22.0625,21.875,21.9375,1512600,0.0,0.0
1997-05-09,22.03125,22.0625,21.875,22.0,906200,0.0,0.0
1997-05-12,22.125,22.4375,22.0,22.3125,616600,0.0,0.0
1997-05-13,22.5,22.625,22.3125,22.46875,458400,0.0,0.0
1997-05-14,22.625,23.09375,22.5625,23.0,1408800,0.0,0.0
1997-05-15,23.125,23.125,22.75,23.03125,400200,0.0,0.0
1997-05-16,22.90625,23.0,22.875,22.90625,1155800,0.0,0.0
1997-05-19,22.875,23.125,22.78125,23.125,603200,0.0,0.0
1997-05-20,23.0,23.25,22.9375,23.25,449200,0.0,0.0
1997-05-21,23.3125,23.375,22.96875,23.0625,243200,0.0,0.0
1997-05-22,23.1875,23.34375,23.09375,23.25,368200,0.0,0.0
1997-05-23,23.3125,23.375,23.21875,23.34375,246600,0.0,0.0
1997-05-27,23.375,23.5,23.3125,23.5,347600,0.0,0.0
1997-05-28,23.5625,23.625,23.40625,23.4375,265400,0.0,0.0
1997-05-29,23.5625,23.59375,23.3125,23.3125,192200,0.0,0.0
1997-05-30,23.1875,23.25,22.9375,23.03125,751600,0.08,0.0
1997-06-02,23.03125,23.125,22.9375,23.03125,409200,0.0,0.0
1997-06-03,22.96875,23.125,22.90625,23.03125,660200,0.0,0.0
1997-06-04,22.96875,23.3125,22.9375,23.1875,297200,0.0,0.0
1997-06-05,23.125,23.25,23.0625,23.1875,324600,0.0,0.0
1997-06-06,23.1875,23.46875,23.1875,23.4375,1039000,0.0,0.0
1997-06-09,23.5625,23.96875,23.5,23.84375,241200,0.0,0.0
1997-06-10,23.9375,24.25,23.9375,24.0,1084800,0.0,0.0
1997-06-11,24.125,24.375,24.0,24.0625,731200,0.0,0.0
1997-06-12,24.0,24.5,24.0,24.5,355000,0.0,0.0
1997-06-13,24.5,24.875,24.46875,24.5,529200,0.0,0.0
