Date,open,high,low,close,volume,dividends,splits
1994-07-12,29.0,29.0,28.125,28.375,672200,0.0,0.0
1994-07-13,28.375,28.625,28.25,28.375,160300,0.0,0.0
1994-07-14,28.375,29.0,28.375,29.0,308900,0.0,0.0
1994-07-15,28.875,29.25,28.75,29.125,227700,0.0,0.0
1994-07-18,29.25,29.75,29.125,29.75,193200,0.0,0.0
1994-07-19,29.5,29.625,29.25,29.375,371000,0.0,0.0
1994-07-20,29.5,29.5,28.125,28.625,166000,0.0,0.0
1994-07-21,28.125,28.5,27.75,28.5,433200,0.0,0.0
1994-07-22,28.75,28.875,28.375,28.625,2584100,0.0,0.0
1994-07-25,28.625,28.75,28.25,28.25,202100,0.0,0.0
1994-07-26,28.375,28.5,28.0,28.375,297300,0.0,0.0
1994-07-27,28.375,28.375,28.0,28.0,967700,0.0,0.0
1994-07-28,28.0,28.375,28.0,28.25,257200,0.0,0.0
1994-07-29,28.25,28.75,28.25,28.75,589600,0.0,0.0
1994-08-01,28.5,28.5,28.25,28.375,320000,0.0,0.0
1994-08-02,28.375,28.5,28.125,28.25,496700,0.0,0.0
1994-08-03,28.0,28.375,27.875,28.0,337300,0.0,0.0
1994-08-04,28.0,28.875,28.0,28.75,400100,0.0,0.0
1994-08-05,28.375,28.625,28.25,28.625,102000,0.0,0.0
1994-08-08,28.375,28.375,28.0,28.25,269100,0.0,0.0
1994-08-09,28.0,28.25,27.875,28.125,207600,0.0,0.0
1994-08-10,28.0,28.125,27.875,28.0,209900,0.0,0.0
1994-08-11,28.0,28.0,27.625,27.75,225300,0.0,0.0
1994-08-12,27.75,28.125,27.625,27.75,403000,0.0,0.0
1994-08-15,28.0,28.125,27.75,27.75,445900,0.0,0.0
1994-08-16,28.0,28.25,27.6875,28.125,292600,0.0,0.0
1994-08-17,28.125,28.125,27.625,27.625,367200,0.0,0.0
1994-08-18,27.75,28.0,27.625,27.75,342400,0.0,0.0
1994-08-19,27.875,27.875,27.75,27.75,207200,0.0,0.0
1994-08-22,27.75,27.75,27.5,27.5,322300,0.0,0.0
1994-08-23,27.625,27.75,27.5,27.5,364300,0.0,0.0
1994-08-24,27.75,28.0,27.5,28.0,509000,0.0,0.0
1994-08-25,28.0,28.125,27.875,27.875,295600,0.0,0.0
1994-08-26,28.0,28.0,27.75,28.0,313000,0.0,0.0
1994-08-29,28.125,28.25,27.875,28.0,303800,0.0,0.0
1994-08-30,28.125,28.125,27.875,28.125,241800,0.0,0.0
1994-08-31,27.875,28.125,27.75,28.0,335900,0.0,0.0
1994-09-01,27.875,27.875,27.625,27.75,242500,0.0,0.0
1994-09-02,28.0,28.125,27.75,27.75,405300,0.0,0.0
1994-09-06,27.875,27.875,27.375,27.625,333100,0.0,0.0
1994-09-07,27.75,28.0,27.5,27.5,1131100,0.0,0.0
1994-09-08,27.5,27.75,27.375,27.5,479200,0.0,0.0
1994-09-09,27.375,27.375,27.125,27.25,310400,0.0,0.0
1994-09-12,27.375,27.5,27.25,27.375,216900,0.0,0.0
1994-09-13,27.375,27.625,27.25,27.375,245300,0.0,0.0
1994-09-14,27.375,27.75,27.25,27.5,325800,0.0,0.0
1994-09-15,27.875,27.875,27.5,27.75,232500,0.0,0.0
1994-09-16,27.375,27.625,27.25,27.375,485300,0.0,0.0
1994-09-19,27.5,27.625,27.375,27.375,120400,0.0,0.0
1994-09-20,27.375,27.375,27.0,27.0,225700,0.0,0.0
1994-09-21,27.125,27.25,26.875,27.0,167600,0.0,0.0
1994-09-22,27.0,27.0,26.5,26.5,455500,0.0,0.0
1994-09-23,26.5,26.625,26.375,26.375,666800,0.0,0.0
1994-09-26,26.375,26.5,26.25,26.375,394100,0.0,0.0
1994-09-27,26.375,26.375,26.125,26.125,450100,0.0,0.0
1994-09-28,26.25,26.5,26.0,26.5,669300,0.0,0.0
1994-09-29,26.5,26.5,26.0,26.25,157500,0.0,0.0
1994-09-30,26.375,26.5,25.625,25.875,484200,0.0,0.0
1994-10-03,26.0,26.0,24.625,25.25,595000,0.0,0.0
1994-10-04,25.25,25.5,24.75,24.875,465100,0.0,0.0
1994-10-05,25.0,25.125,24.75,25.125,803300,0.0,0.0
1994-10-06,25.375,26.25,25.375,25.5,579700,0.0,0.0
1994-10-07,25.625,25.875,25.25,25.625,494300,0.0,0.0
1994-10-10,25.75,25.75,25.25,25.625,309900,0.0,0.0
1994-10-11,25.25,25.875,25.25,25.5,542900,0.35,0.0
1994-10-12,25.5,26.0,25.375,25.875,487500,0.0,0.0
1994-10-13,26.125,26.375,25.875,26.0,361600,0.0,0.0
1994-10-14,26.25,26.25,26.0,26.125,433400,0.0,0.0
1994-10-17,26.0,26.125,25.375,25.375,154400,0.0,0.0
1994-10-18,25.5,25.625,25.125,25.5,431800,0.0,0.0
1994-10-19,25.5,25.5,24.25,24.375,578800,0.0,0.0
1994-10-20,24.375,24.75,24.0,24.375,1018100,0.0,0.0
1994-10-21,24.25,24.375,23.75,23.75,896400,0.0,0.0
1994-10-24,23.625,24.0,23.625,23.625,722200,0.0,0.0
1994-10-25,23.5,23.625,23.25,23.5,491300,0.0,0.0
1994-10-26,23.5,23.75,23.375,23.375,889100,0.0,0.0
1994-10-27,23.5,23.5,23.25,23.375,427500,0.0,0.0
1994-10-28,23.25,24.0,23.25,23.875,1299100,0.0,0.0
1994-10-31,23.875,24.0,23.5,23.5,322100,0.0,0.0
1994-11-01,23.625,23.75,23.125,23.25,584200,0.0,0.0
1994-11-02,23.375,23.625,23.125,23.375,387400,0.0,0.0
1994-11-03,23.375,23.75,23.375,23.375,260500,0.0,0.0
1994-11-04,23.375,23.625,23.125,23.25,554700,0.0,0.0
1994-11-07,23.25,23.625,23.25,23.25,293100,0.0,0.0
1994-11-08,23.375,23.375,23.0,23.0,434800,0.0,0.0
1994-11-09,23.375,23.375,22.5,22.75,721900,0.0,0.0
1994-11-10,22.5,22.75,22.125,22.375,577800,0.0,0.0
1994-11-11,22.125,22.5,21.875,22.375,487500,0.0,0.0
1994-11-14,22.5,23.0,22.375,22.375,344100,0.0,0.0
1994-11-15,22.375,22.625,21.625,22.0,1208000,0.0,0.0
1994-11-16,22.0,22.25,20.875,21.5,1396000,0.0,0.0
1994-11-17,21.0,21.125,20.625,20.75,1411300,0.0,0.0
1994-11-18,20.75,21.0,20.5,20.75,1158900,0.0,0.0
1994-11-21,20.5,20.75,20.375,20.375,632900,0.0,0.0
1994-11-22,20.125,20.5,20.0,20.125,713600,0.0,0.0
1994-11-23,20.0,20.75,20.0,20.625,907300,0.0,0.0
1994-11-25,20.625,20.875,20.625,20.75,324200,0.0,0.0
1994-11-28,20.875,21.0,20.625,20.75,495500,0.0,0.0
1994-11-29,20.875,21.125,20.8125,21.0,971500,0.0,0.0
1994-11-30,21.125,21.125,20.625,20.75,694300,0.0,0.0
1994-12-01,20.75,20.875,20.375,20.375,555600,0.0,0.0
1994-12-02,20.375,20.875,20.0,20.875,744900,0.0,0.0
1994-12-05,21.125,21.5,21.0,21.25,869300,0.0,0.0
1994-12-06,21.25,21.375,21.0,21.125,591200,0.0,0.0
1994-12-07,21.0,21.25,20.625,20.875,437500,0.0,0.0
1994-12-08,20.875,21.0,20.75,20.875,723200,0.0,0.0
1994-12-09,20.875,21.0,20.75,20.875,744500,0.0,0.0
1994-12-12,20.875,21.25,20.875,21.0,931600,0.0,0.0
1994-12-13,21.0,21.375,21.0,21.125,1281800,0.0,0.0
1994-12-14,21.25,21.75,21.25,21.625,754900,0.0,0.0
1994-12-15,21.625,22.0,21.5,21.75,561100,0.0,0.0
1994-12-16,21.875,23.0,21.75,22.625,1559800,0.0,0.0
1994-12-19,22.625,22.625,22.125,22.25,476700,0.0,0.0
1994-12-20,22.0,22.25,21.625,22.25,470500,0.0,0.0
1994-12-21,22.0,23.0,22.0,22.625,861800,0.0,0.0
1994-12-22,22.5,22.625,21.875,21.875,574800,0.0,0.0
1994-12-23,22.0,22.125,21.875,21.875,274400,0.0,0.0
1994-12-27,22.0,22.25,21.875,22.0,281200,0.0,0.0
1994-12-28,22.125,22.125,21.375,21.625,357900,0.0,0.0
1994-12-29,21.625,21.625,21.125,21.125,449900,0.0,0.0
1994-12-30,21.25,21.625,21.125,21.125,408300,0.0,0.0
1995-01-03,21.125,21.75,21.125,21.75,408500,0.0,0.0
1995-01-04,22.125,22.5,21.875,22.5,630600,0.0,0.0
1995-01-05,22.625,23.125,22.5,22.875,455500,0.0,0.0
1995-01-06,23.25,23.25,21.625,22.125,952000,0.0,0.0
1995-01-09,21.625,22.125,21.125,22.0,525600,0.35,0.0
1995-01-10,22.125,22.125,21.875,21.875,416800,0.0,0.0
1995-01-11,21.875,22.125,21.5,21.625,587200,0.0,0.0
1995-01-12,21.75,21.75,21.25,21.5,336400,0.0,0.0
1995-01-13,21.625,21.875,21.375,21.75,594400,0.0,0.0
1995-01-16,21.75,22.75,21.75,22.5,966100,0.0,0.0
1995-01-17,22.625,22.625,22.25,22.375,438800,0.0,0.0
1995-01-18,22.375,22.375,21.75,21.875,357200,0.0,0.0
1995-01-19,21.75,22.0,21.625,21.75,334100,0.0,0.0
1995-01-20,21.875,22.0,21.625,21.875,291700,0.0,0.0
1995-01-23,21.875,22.125,21.625,22.0,487300,0.0,0.0
1995-01-24,22.125,22.625,22.125,22.375,585700,0.0,0.0
1995-01-25,22.625,23.25,22.5,23.0,657400,0.0,0.0
1995-01-26,23.0,23.625,23.0,23.5,721500,0.0,0.0
1995-01-27,23.625,24.125,23.5,23.625,432500,0.0,0.0
1995-01-30,23.625,23.625,23.125,23.5,193400,0.0,0.0
1995-01-31,23.625,23.875,23.375,23.5,531700,0.0,0.0
1995-02-01,23.75,23.875,23.5,23.5,961900,0.0,0.0
1995-02-02,23.5,24.0,23.5,24.0,400800,0.0,0.0
1995-02-03,24.0,24.5,24.0,24.25,1335700,0.0,0.0
1995-02-06,24.25,24.375,24.0,24.125,376500,0.0,0.0
1995-02-07,23.875,24.0,23.75,23.875,346900,0.0,0.0
1995-02-08,23.875,24.125,23.75,24.0,918300,0.0,0.0
1995-02-09,24.0,24.375,24.0,24.125,635800,0.0,0.0
1995-02-10,24.125,24.125,23.875,24.125,225100,0.0,0.0
1995-02-13,24.125,24.25,24.0,24.125,248300,0.0,0.0
1995-02-14,25.0,25.5,24.375,25.0,2562500,0.0,0.0
1995-02-15,25.0,25.375,24.875,25.125,1491300,0.0,0.0
1995-02-16,25.25,25.375,25.125,25.25,761700,0.0,0.0
1995-02-17,25.125,25.125,24.875,24.875,563600,0.0,0.0
1995-02-21,25.125,25.125,24.875,24.875,822100,0.0,0.0
1995-02-22,25.0,25.5,24.875,25.375,801600,0.0,0.0
1995-02-23,25.5,25.75,25.375,25.625,816100,0.0,0.0
1995-02-24,25.625,25.75,25.25,25.625,553600,0.0,0.0
1995-02-27,25.5,25.75,25.25,25.375,405800,0.0,0.0
1995-02-28,25.5,25.625,25.25,25.5,426800,0.0,0.0
1995-03-01,25.5,25.5,25.0,25.125,369800,0.0,0.0
1995-03-02,25.0,25.125,24.75,24.875,420100,0.0,0.0
1995-03-03,24.625,25.25,24.625,25.125,319100,0.0,0.0
1995-03-06,24.875,25.0,24.75,24.875,208900,0.0,0.0
1995-03-07,24.75,24.875,24.25,24.25,373500,0.0,0.0
1995-03-08,24.25,24.375,23.875,24.125,395800,0.0,0.0
1995-03-09,24.125,24.375,23.875,24.25,415200,0.0,0.0
1995-03-10,24.375,24.875,24.25,24.625,371100,0.0,0.0
1995-03-13,24.75,24.75,24.25,24.375,236600,0.0,0.0
1995-03-14,24.375,25.625,24.25,24.625,482800,0.0,0.0
1995-03-15,24.75,24.75,24.375,24.625,478800,0.0,0.0
1995-03-16,24.625,24.875,24.5,24.625,328400,0.0,0.0
1995-03-17,24.75,24.75,24.375,24.5,667600,0.0,0.0
1995-03-20,24.5,24.875,24.375,24.375,453600,0.0,0.0
1995-03-21,24.5,24.75,24.375,24.625,490400,0.0,0.0
