Date,open,high,low,close,volume,dividends,splits
1999-01-06,35.125,35.6875,35.0625,35.65625,635600,0.0,0.0
1999-01-07,34.75,35.21875,34.5,35.0,580200,0.0,0.0
1999-01-08,34.71875,34.75,34.375,34.375,382000,0.0,0.0
1999-01-11,34.0,34.1875,33.8125,33.96875,496200,0.0,0.0
1999-01-12,33.9375,33.96875,33.5,33.59375,592600,0.0,0.0
1999-01-13,33.0625,33.4375,32.75,33.28125,586000,0.0,0.0
1999-01-14,33.59375,34.1875,33.5,33.875,399400,0.0,0.0
1999-01-15,34.0,34.71875,34.0,34.53125,312000,0.0,0.0
1999-01-19,34.9375,35.1875,34.71875,35.03125,365800,0.0,0.0
1999-01-20,35.28125,35.59375,34.90625,35.5,499800,0.0,0.0
1999-01-21,35.59375,36.0,35.5,35.875,560400,0.0,0.0
1999-01-22,35.6875,35.6875,34.78125,35.25,264800,0.0,0.0
1999-01-25,35.125,35.15625,34.8125,35.09375,115800,0.0,0.0
1999-01-26,34.8125,34.90625,34.125,34.875,394000,0.0,0.0
1999-01-27,35.5,35.59375,35.125,35.21875,666400,0.0,0.0
1999-01-28,35.21875,36.0,35.21875,35.6875,771600,0.0,0.0
1999-01-29,36.75,36.8125,36.0,36.53125,718200,0.0,0.0
1999-02-01,36.46875,36.8125,36.46875,36.6875,168800,0.0,0.0
1999-02-02,36.75,36.75,36.40625,36.4375,271400,0.0,0.0
1999-02-03,36.375,36.875,36.15625,36.71875,184600,0.0,0.0
1999-02-04,36.625,36.84375,36.25,36.65625,168600,0.0,0.0
1999-02-05,36.3125,36.4375,36.125,36.375,147600,0.0,0.0
1999-02-08,36.5625,36.90625,36.4375,36.75,213400,0.0,0.0
1999-02-09,36.0625,36.21875,35.84375,35.875,405400,0.0,0.0
1999-02-10,36.1875,36.75,36.1875,36.59375,227800,0.0,0.0
1999-02-11,36.46875,37.25,36.4375,37.25,243000,0.0,0.0
1999-02-12,36.75,36.75,36.03125,36.03125,154600,0.0,0.0
1999-02-16,36.75,37.125,36.71875,36.96875,264400,0.0,0.0
1999-02-17,37.46875,37.46875,36.90625,37.0,227400,0.0,0.0
1999-02-18,37.46875,37.5,37.28125,37.375,228200,0.0,0.0
1999-02-19,37.5625,37.96875,37.5625,37.625,286200,0.0,0.0
1999-02-22,37.6875,38.25,37.5,38.1875,200400,0.0,0.0
1999-02-23,37.75,37.875,37.5,37.75,317000,0.0,0.0
1999-02-24,37.75,38.125,37.59375,37.65625,359200,0.0,0.0
1999-02-25,37.78125,37.84375,37.375,37.78125,220000,0.0,0.0
1999-02-26,37.65625,37.65625,37.0,37.34375,189400,0.0,0.0
1999-03-01,37.125,37.1875,36.9375,37.0,161800,0.0,0.0
1999-03-02,37.0,37.0,36.5625,36.84375,401800,0.0,0.0
1999-03-03,37.8125,38.34375,37.78125,38.34375,524800,0.0,0.0
1999-03-04,38.75,39.71875,38.75,39.71875,707600,0.0,0.0
1999-03-05,41.0,41.21875,40.71875,41.09375,801000,0.0,0.0
1999-03-08,41.5,43.0625,41.40625,42.90625,847800,0.0,0.0
1999-03-09,44.25,47.15625,44.125,47.0,2382800,0.0,0.0
1999-03-10,48.5,48.625,47.59375,47.75,1624200,0.0,0.0
