Date,open,high,low,close,volume,dividends,splits
1994-07-14,3.171875,3.203125,3.140625,3.1875,1782400,0.0,0.0
1994-07-15,3.1875,3.21875,3.15625,3.203125,1383200,0.0,0.0
1994-07-18,3.15625,3.21875,3.15625,3.1875,726400,0.0,0.0
1994-07-19,3.21875,3.25,3.1875,3.234375,1476000,0.0,0.0
1994-07-20,3.25,3.25,3.203125,3.21875,138400,0.0,0.0
1994-07-21,3.25,3.390625,3.234375,3.359375,1530400,0.0,0.0
1994-07-22,3.390625,3.492187976837158,3.359375,3.4375,912800,0.0,0.0
1994-07-25,3.59375,3.734375,3.59375,3.734375,7677600,0.0,0.0
1994-07-26,3.6875,3.765625,3.6875,3.726562976837158,6454400,0.0,0.0
1994-07-27,3.65625,3.65625,3.34375,3.398437976837158,7932800,0.0,0.0
1994-07-28,3.375,3.59375,3.375,3.484375,3773600,0.0,0.0
1994-07-29,3.578125,3.59375,3.5,3.5,2326400,0.0,0.0
1994-08-01,3.578125,3.59375,3.53125,3.59375,1032000,0.0,0.0
1994-08-02,3.609375,3.625,3.53125,3.625,1096000,0.0,0.0
1994-08-03,3.625,3.6875,3.625,3.640625,1712000,0.0,0.0
1994-08-04,3.65625,3.671875,3.578125,3.609375,4389600,0.0,0.0
1994-08-05,3.578125,3.609375,3.421875,3.5,2420800,0.0,0.0
1994-08-08,3.5,3.5,3.40625,3.453125,406400,0.0,0.0
1994-08-09,3.421875,3.46875,3.390625,3.46875,916800,0.00625,0.0
1994-08-10,3.5,3.578125,3.421875,3.5,3924000,0.0,0.0
1994-08-11,3.5,3.53125,3.4375,3.515625,1650400,0.0,0.0
1994-08-12,3.46875,3.546875,3.46875,3.492187976837158,537600,0.0,0.0
1994-08-15,3.5,3.515625,3.4375,3.492187976837158,1538400,0.0,0.0
1994-08-16,3.46875,3.515625,3.1875,3.3125,11237600,0.0,0.0
1994-08-17,3.328125,3.375,3.28125,3.3125,3966400,0.0,0.0
1994-08-18,3.28125,3.296875,3.203125,3.21875,6028000,0.0,0.0
1994-08-19,3.21875,3.265625,3.125,3.265625,6046400,0.0,0.0
1994-08-22,3.28125,3.484375,3.25,3.453125,5269600,0.0,0.0
1994-08-23,3.5,3.5625,3.484375,3.546875,4232000,0.0,0.0
1994-08-24,3.5,3.570312976837158,3.453125,3.546875,3018400,0.0,0.0
1994-08-25,3.546875,3.609375,3.546875,3.578125,2651200,0.0,0.0
1994-08-26,3.609375,3.6875,3.578125,3.625,1908800,0.0,0.0
1994-08-29,3.65625,3.703125,3.59375,3.640625,1180000,0.0,0.0
1994-08-30,3.671875,3.703125,3.625,3.679687976837158,652000,0.0,0.0
1994-08-31,3.65625,3.6875,3.59375,3.59375,1638400,0.0,0.0
1994-09-01,3.625,3.625,3.546875,3.609375,404800,0.0,0.0
1994-09-02,3.546875,3.625,3.546875,3.5625,369600,0.0,0.0
1994-09-06,3.578125,3.703125,3.578125,3.6875,736800,0.0,0.0
1994-09-07,3.671875,3.75,3.671875,3.71875,1831200,0.0,0.0
1994-09-08,3.734375,3.765625,3.703125,3.734375,1265600,0.0,0.0
1994-09-09,3.75,3.75,3.640625,3.65625,1136800,0.0,0.0
1994-09-12,3.625,3.65625,3.5625,3.5625,653600,0.0,0.0
1994-09-13,3.546875,3.65625,3.53125,3.65625,1480000,0.0,0.0
1994-09-14,3.671875,3.75,3.625,3.734375,3060800,0.0,0.0
1994-09-15,3.75,3.859375,3.71875,3.84375,3239200,0.0,0.0
1994-09-16,3.84375,3.84375,3.734375,3.734375,1380800,0.0,0.0
1994-09-19,3.734375,3.765625,3.6875,3.6875,710400,0.0,0.0
1994-09-20,3.71875,3.71875,3.53125,3.59375,3255200,0.0,0.0
1994-09-21,3.5625,3.59375,3.484375,3.53125,1214400,0.0,0.0
1994-09-22,3.46875,3.59375,3.46875,3.53125,619200,0.0,0.0
1994-09-23,3.53125,3.53125,3.46875,3.5,563200,0.0,0.0
1994-09-26,3.484375,3.484375,3.40625,3.4375,1472000,0.0,0.0
1994-09-27,3.40625,3.5,3.40625,3.492187976837158,882400,0.0,0.0
