Date,open,high,low,close,volume,dividends,splits
1999-11-30,32.375,32.875,32.125,32.25,801100,0.0,0.0
1999-12-01,32.1875,32.8125,32.0625,32.6875,473100,0.0,0.0
1999-12-02,32.5625,32.875,32.25,32.3125,310900,0.0,0.0
1999-12-03,32.25,34.1875,32.25,33.3125,461800,0.0,0.0
1999-12-06,33.375,33.4375,32.3125,32.5,471200,0.0,0.0
1999-12-07,32.375,32.375,30.875,31.125,308600,0.0,0.0
1999-12-08,31.875,31.875,30.25,30.4375,301700,0.0,0.0
1999-12-09,30.4375,31.1875,30.3125,30.5,385800,0.0,0.0
1999-12-10,31.0625,31.125,30.625,30.8125,323000,0.0,0.0
1999-12-13,30.125,30.4375,29.625,29.8125,477900,0.0,0.0
1999-12-14,29.875,30.125,29.375,29.5,406600,0.0,0.0
1999-12-15,29.375,30.125,29.1875,29.875,571600,0.0,0.0
1999-12-16,30.5,30.6875,29.125,29.4375,867900,0.0,0.0
1999-12-17,29.4375,29.4375,27.625,27.625,1795900,0.0,0.0
1999-12-20,27.875,28.625,27.8125,27.8125,1096500,0.0,0.0
1999-12-21,27.9375,28.125,27.8125,28.0,799200,0.0,0.0
1999-12-22,27.75,28.0,27.3125,27.5,727600,0.0,0.0
1999-12-23,27.5,27.9375,27.4375,27.9375,397900,0.0,0.0
1999-12-27,27.9375,28.1875,27.4375,27.4375,577700,0.0,0.0
1999-12-28,27.1875,27.9375,27.1875,27.5,382900,0.0,0.0
1999-12-29,27.4375,27.9375,27.4375,27.6875,377400,0.0,0.0
1999-12-30,27.4375,27.9375,27.25,27.3125,489200,0.0,0.0
1999-12-31,27.25,27.5,27.25,27.375,405000,0.0,0.0
2000-01-03,27.125,27.1875,25.625,25.8125,571300,0.0,0.0
2000-01-04,25.8125,25.875,24.75,25.0625,766700,0.0,0.0
2000-01-05,25.125,25.6875,24.9375,25.375,620200,0.0,0.0
2000-01-06,25.4375,26.6875,25.3125,26.5625,691500,0.0,0.0
2000-01-07,27.25,27.25,26.4375,26.75,579500,0.0,0.0
2000-01-10,26.875,27.0,25.6875,26.0625,477600,0.0,0.0
2000-01-11,25.8125,25.9375,25.25,25.375,319700,0.0,0.0
2000-01-12,25.5,26.375,25.4375,26.0,515300,0.2,0.0
2000-01-13,26.5625,28.625,26.5625,28.125,1989500,0.0,0.0
2000-01-14,28.25,29.25,28.25,29.1875,1026700,0.0,0.0
2000-01-18,29.0,29.0,27.6875,27.875,1078700,0.0,0.0
2000-01-19,28.375,28.5,27.3125,27.5,573600,0.0,0.0
2000-01-20,27.5,27.625,26.375,26.5,431300,0.0,0.0
2000-01-21,27.1875,27.1875,26.4375,26.75,502800,0.0,0.0
2000-01-24,26.75,26.75,25.75,26.0,407500,0.0,0.0
2000-01-25,25.875,26.4375,25.625,26.0,456600,0.0,0.0
2000-01-26,26.0625,27.625,25.9375,27.625,695100,0.0,0.0
2000-01-27,28.5,28.6875,27.625,28.0,667200,0.0,0.0
2000-01-28,27.75,27.75,26.875,27.625,684300,0.0,0.0
2000-01-31,27.375,28.125,27.0,28.125,831700,0.0,0.0
2000-02-01,28.125,28.75,27.625,28.5,635100,0.0,0.0
2000-02-02,29.125,29.125,28.0,28.1875,614000,0.0,0.0
2000-02-03,28.125,28.625,27.8125,28.5,819600,0.0,0.0
2000-02-04,28.4375,28.4375,27.375,27.5,394100,0.0,0.0
2000-02-07,25.0625,26.25,25.0625,26.25,2087800,0.0,0.0
2000-02-08,26.1875,26.375,25.9375,26.0625,970000,0.0,0.0
2000-02-09,26.1875,26.1875,25.6875,25.9375,1075600,0.0,0.0
2000-02-10,25.75,25.9375,25.0,25.25,376800,0.0,0.0
2000-02-11,25.25,25.875,25.0,25.375,603600,0.0,0.0
2000-02-14,25.4375,25.5,24.6875,25.0,680400,0.0,0.0
2000-02-15,25.0,25.875,24.8125,25.75,779500,0.0,0.0
2000-02-16,25.625,25.75,24.9375,25.0,491500,0.0,0.0
2000-02-17,25.0,25.125,23.6875,24.0625,642800,0.0,0.0
2000-02-18,24.125,24.25,23.375,23.5625,655500,0.0,0.0
2000-02-22,23.75,24.125,23.375,23.9375,422700,0.0,0.0
2000-02-23,23.9375,23.9375,23.0625,23.0625,430000,0.0,0.0
2000-02-24,23.1875,23.375,22.0625,22.625,794900,0.0,0.0
2000-02-25,23.125,23.25,22.5,22.6875,505000,0.0,0.0
2000-02-28,22.8125,23.625,22.6875,23.3125,509100,0.0,0.0
2000-02-29,23.0625,23.5,22.5625,23.5,574800,0.0,0.0
2000-03-01,23.4375,23.5,22.625,23.125,432100,0.0,0.0
2000-03-02,22.9375,23.0,22.375,23.0,549600,0.0,0.0
2000-03-03,22.5,23.5625,22.5,23.375,564500,0.0,0.0
2000-03-06,23.25,23.25,22.1875,22.625,471200,0.0,0.0
2000-03-07,22.75,22.75,22.0,22.0,491700,0.0,0.0
2000-03-08,21.75,22.3125,21.6875,22.125,455000,0.0,0.0
2000-03-09,22.125,22.9375,22.0,22.9375,519400,0.0,0.0
2000-03-10,22.9375,22.9375,22.3125,22.5625,470100,0.0,0.0
2000-03-13,22.0,22.875,22.0,22.875,460300,0.0,0.0
2000-03-14,22.625,22.625,21.6875,22.375,457300,0.0,0.0
2000-03-15,22.125,25.0,21.9375,24.8125,1193500,0.0,0.0
2000-03-16,24.75,27.3125,24.4375,27.3125,1192300,0.0,0.0
2000-03-17,27.5625,27.5625,25.8125,26.75,1020300,0.0,0.0
2000-03-20,26.5625,26.6875,25.0,26.125,1024800,0.0,0.0
2000-03-21,26.0,27.625,26.0,27.625,1026300,0.0,0.0
2000-03-22,27.5,27.875,27.125,27.75,441800,0.0,0.0
2000-03-23,27.5,28.625,27.1875,28.625,612000,0.0,0.0
2000-03-24,28.25,28.8125,27.625,28.375,661500,0.0,0.0
2000-03-27,27.875,27.9375,27.0,27.5,394400,0.0,0.0
2000-03-28,27.375,28.0,27.1875,27.5625,397600,0.0,0.0
2000-03-29,28.75,28.75,27.6875,28.1875,461700,0.0,0.0
2000-03-30,27.6875,27.9375,27.125,27.3125,393200,0.0,0.0
2000-03-31,26.75,28.0625,26.6875,28.0625,598600,0.0,0.0
2000-04-03,27.875,29.375,27.875,29.3125,561500,0.0,0.0
2000-04-04,29.625,30.0,28.5,29.6875,1073400,0.0,0.0
2000-04-05,29.375,29.625,28.8125,28.9375,341900,0.0,0.0
2000-04-06,29.5,29.5,28.125,28.75,293800,0.0,0.0
2000-04-07,28.375,28.5625,27.875,27.875,296300,0.0,0.0
2000-04-10,27.75,28.375,27.125,28.1875,389700,0.0,0.0
2000-04-11,28.4375,28.4375,27.75,28.0,333800,0.0,0.0
2000-04-12,28.0,29.875,28.0,28.6875,643200,0.2,0.0
2000-04-13,27.75,28.5,27.75,27.9375,371300,0.0,0.0
2000-04-14,27.375,27.4375,25.75,26.0625,679000,0.0,0.0
2000-04-17,25.9375,26.75,25.875,26.625,590600,0.0,0.0
2000-04-18,26.125,26.9375,26.0,26.875,427400,0.0,0.0
2000-04-19,27.125,27.125,25.8125,26.25,283400,0.0,0.0
2000-04-20,26.375,26.6875,25.75,26.4375,659400,0.0,0.0
2000-04-24,26.4375,27.4375,26.0625,26.9375,325100,0.0,0.0
2000-04-25,26.6875,28.375,26.6875,28.0625,530400,0.0,0.0
2000-04-26,28.375,28.375,27.1875,27.1875,524300,0.0,0.0
2000-04-27,26.6875,26.875,26.0,26.25,423600,0.0,0.0
2000-04-28,26.625,26.75,26.0,26.625,1025500,0.0,0.0
2000-05-01,26.75,27.4375,26.25,26.9375,560900,0.0,0.0
2000-05-02,27.0625,27.0625,26.375,26.875,609500,0.0,0.0
2000-05-03,26.8125,27.25,26.4375,26.5,665400,0.0,0.0
2000-05-04,26.375,26.375,25.875,26.0625,511200,0.0,0.0
2000-05-05,25.9375,26.1875,25.8125,25.9375,241900,0.0,0.0
2000-05-08,25.8125,27.0,25.8125,26.3125,337400,0.0,0.0
2000-05-09,26.25,26.9375,26.25,26.5625,344200,0.0,0.0
2000-05-10,26.5625,26.8125,26.125,26.3125,597300,0.0,0.0
2000-05-11,26.375,27.4375,26.375,27.125,597700,0.0,0.0
2000-05-12,26.6875,27.6875,26.625,27.4375,515000,0.0,0.0
2000-05-15,27.25,27.9375,27.125,27.8125,570500,0.0,0.0
2000-05-16,27.875,27.875,27.0625,27.25,380400,0.0,0.0
2000-05-17,27.0,27.125,26.625,27.0625,207600,0.0,0.0
2000-05-18,27.0,27.9375,27.0,27.625,518100,0.0,0.0
