Date,open,high,low,close,volume,dividends,splits
1994-11-21,4.0,4.0625,3.84375,3.859375,2409600,0.0,0.0
1994-11-22,3.84375,3.84375,3.6875,3.71875,1462400,0.0,0.0
1994-11-23,3.6875,3.6875,3.65625,3.671875,646400,0.0,0.0
1994-11-25,3.65625,3.75,3.65625,3.75,204800,0.0,0.0
1994-11-28,3.75,3.78125,3.65625,3.71875,788000,0.0,0.0
1994-11-29,3.65625,3.71875,3.65625,3.6875,257600,0.0,0.0
1994-11-30,3.65625,3.6875,3.65625,3.65625,1404000,0.0,0.0
1994-12-01,3.65625,3.6875,3.546875,3.609375,860800,0.0,0.0
1994-12-02,3.625,3.6875,3.59375,3.625,1104800,0.0,0.0
1994-12-05,3.625,3.65625,3.59375,3.625,164800,0.0,0.0
1994-12-06,3.59375,3.6875,3.59375,3.6875,249600,0.0,0.0
1994-12-07,3.59375,3.625,3.5625,3.578125,857600,0.0,0.0
1994-12-08,3.5625,3.59375,3.5625,3.59375,340000,0.0,0.0
1994-12-09,3.59375,3.59375,3.53125,3.5625,755200,0.0,0.0
1994-12-12,3.5625,3.59375,3.46875,3.59375,743200,0.0,0.0
1994-12-13,3.53125,3.65625,3.46875,3.625,2155200,0.0,0.0
1994-12-14,3.625,3.703125,3.59375,3.65625,1063200,0.0,0.0
1994-12-15,3.65625,3.6875,3.609375,3.625,177600,0.0,0.0
1994-12-16,3.625,3.8125,3.59375,3.75,889600,0.0,0.0
1994-12-19,3.8125,3.90625,3.8125,3.875,1140800,0.0,0.0
1994-12-20,3.84375,3.90625,3.8125,3.875,778400,0.0,0.0
1994-12-21,3.84375,3.875,3.71875,3.75,1274400,0.0,0.0
1994-12-22,3.78125,3.78125,3.71875,3.78125,894400,0.02,0.0
1994-12-23,3.71875,3.78125,3.65625,3.65625,281600,0.0,0.0
1994-12-27,3.65625,3.71875,3.65625,3.65625,112000,0.0,0.0
1994-12-28,3.65625,3.71875,3.65625,3.671875,100000,0.0,0.0
1994-12-29,3.71875,3.78125,3.65625,3.726562976837158,535200,0.0,0.0
1994-12-30,3.75,3.75,3.6875,3.75,223200,0.0,0.0
1995-01-03,3.6875,3.75,3.65625,3.65625,361600,0.0,0.0
1995-01-04,3.65625,3.71875,3.65625,3.671875,784000,0.0,0.0
1995-01-05,3.65625,3.6875,3.65625,3.664062976837158,352800,0.0,0.0
1995-01-06,3.65625,3.6875,3.65625,3.65625,459200,0.0,0.0
1995-01-09,3.71875,3.71875,3.65625,3.671875,319200,0.0,0.0
