Date,open,high,low,close,volume,dividends,splits
1996-02-26,3.4375,3.5625,3.40625,3.5625,624400,0.0,0.0
1996-02-27,3.59375,3.625,3.5,3.53125,539600,0.0,0.0
1996-02-28,3.5,3.625,3.5,3.59375,760800,0.0,0.0
1996-02-29,3.59375,3.75,3.4375,3.71875,1278000,0.0,0.0
1996-03-01,3.6875,4.1875,3.5625,4.125,5889600,0.0,0.0
1996-03-04,4.1875,4.59375,4.125,4.5,3686400,0.0,0.0
1996-03-05,4.59375,4.8125,4.5,4.78125,5058800,0.0,0.0
1996-03-06,4.71875,4.75,4.625,4.71875,3480800,0.0,0.0
1996-03-07,4.71875,4.71875,4.46875,4.5,1699200,0.0,0.0
1996-03-08,4.40625,4.5,4.34375,4.46875,787200,0.0,0.0
1996-03-11,4.46875,4.625,4.375,4.5,913600,0.0,0.0
1996-03-12,4.5,4.53125,4.4375,4.5,489200,0.0,0.0
1996-03-13,4.59375,4.625,4.4375,4.4375,560400,0.0,0.0
1996-03-14,4.5,4.5625,4.4375,4.46875,323200,0.0,0.0
1996-03-15,4.4375,4.625,4.4375,4.625,166400,0.0,0.0
1996-03-18,4.5,5.09375,4.5,5.03125,1582800,0.0,0.0
1996-03-19,5.0625,5.0625,4.8125,4.8125,1160800,0.0,0.0
1996-03-20,4.75,4.875,4.6875,4.75,907200,0.0,0.0
1996-03-21,4.75,4.78125,4.6875,4.75,176800,0.0,0.0
1996-03-22,4.6875,4.78125,4.6875,4.78125,217600,0.0,0.0
1996-03-25,4.8125,5.21875,4.6875,5.1875,1169200,0.0,0.0
1996-03-26,5.0625,5.625,5.0625,5.59375,2923200,0.0,0.0
1996-03-27,5.53125,5.625,5.4375,5.46875,1828400,0.0,0.0
1996-03-28,5.4375,5.78125,5.4375,5.59375,1825600,0.0,0.0
1996-03-29,5.59375,5.6875,5.59375,5.6875,293200,0.0,0.0
1996-04-01,5.625,5.6875,5.53125,5.53125,1794400,0.0,0.0
1996-04-02,5.53125,5.59375,5.3125,5.5,1810000,0.0,0.0
1996-04-03,5.5,5.8125,5.5,5.75,2002000,0.0,0.0
1996-04-04,5.8125,5.90625,5.65625,5.765625,769600,0.0,0.0
1996-04-08,5.65625,5.6875,5.3125,5.5,739600,0.0,0.0
1996-04-09,5.375,5.625,5.375,5.5,622400,0.0,0.0
1996-04-10,5.375,5.46875,5.375,5.40625,1036400,0.0,0.0
1996-04-11,5.375,5.4375,5.375,5.4375,337600,0.0,0.0
1996-04-12,5.375,5.625,5.375,5.625,246000,0.0,0.0
1996-04-15,5.5,5.625,5.5,5.625,212400,0.0,0.0
1996-04-16,5.5,5.8125,5.5,5.625,736800,0.0,0.0
1996-04-17,5.625,5.71875,5.5625,5.65625,598000,0.0,0.0
1996-04-18,5.59375,5.78125,5.59375,5.75,235200,0.0,0.0
1996-04-19,5.6875,5.8125,5.6875,5.796875,242400,0.0,0.0
1996-04-22,5.6875,5.8125,5.6875,5.78125,358800,0.0,0.0
1996-04-23,5.6875,5.78125,5.65625,5.75,215200,0.0,0.0
1996-04-24,5.625,5.75,5.46875,5.53125,416800,0.0,0.0
1996-04-25,5.46875,5.5625,5.375,5.375,670800,0.0,0.0
1996-04-26,5.375,5.625,5.375,5.59375,422400,0.0,0.0
1996-04-29,5.5,5.78125,5.5,5.75,498400,0.0,0.0
1996-04-30,5.6875,6.3125,5.625,6.25,1942000,0.0,0.0
1996-05-01,6.21875,6.3125,6.0625,6.25,1506400,0.0,0.0
1996-05-02,6.1875,6.4375,6.09375,6.125,1707600,0.0,0.0
1996-05-03,6.1875,6.5,6.125,6.25,1554000,0.0,0.0
1996-05-06,6.21875,6.4375,6.21875,6.3125,623200,0.0,0.0
1996-05-07,6.4375,6.5625,6.3125,6.4375,1115200,0.0,0.0
1996-05-08,6.4375,6.4375,6.25,6.25,736000,0.0,0.0
1996-05-09,6.34375,6.4375,6.25,6.25,1149200,0.0,0.0
1996-05-10,6.25,6.375,6.25,6.375,167200,0.0,0.0
1996-05-13,6.40625,6.625,6.25,6.625,1147200,0.0,0.0
1996-05-14,6.8125,7.125,6.8125,7.125,2323600,0.0,0.0
1996-05-15,7.0625,7.375,7.0,7.0,2237600,0.0,0.0
1996-05-16,7.0,7.0625,6.875,6.890625,509200,0.0,0.0
1996-05-17,6.875,6.9375,6.75,6.875,644000,0.0,0.0
1996-05-20,6.875,7.125,6.75,6.96875,778000,0.0,0.0
1996-05-21,6.90625,7.0625,6.90625,6.90625,200000,0.0,0.0
1996-05-22,7.0,7.09375,6.90625,7.015625,325200,0.0,0.0
1996-05-23,6.9375,7.0625,6.9375,6.9375,29600,0.0,0.0
1996-05-24,7.0625,7.125,6.90625,7.0625,318400,0.0,0.0
1996-05-28,7.0625,7.4375,7.0625,7.3125,839600,0.0,0.0
1996-05-29,7.21875,7.34375,6.8125,6.828125,1024400,0.0,0.0
1996-05-30,6.8125,6.9375,6.625,6.875,446000,0.0,0.0
1996-05-31,6.90625,7.03125,6.78125,6.9375,428000,0.0,0.0
1996-06-03,6.90625,7.03125,6.75,6.875,486000,0.0,0.0
1996-06-04,6.75,7.0625,6.75,7.03125,575200,0.0,0.0
1996-06-05,7.0625,7.21875,6.875,7.125,864000,0.0,0.0
1996-06-06,7.1875,7.25,6.8125,6.8125,366400,0.0,0.0
1996-06-07,6.75,6.8125,6.6875,6.78125,612000,0.0,0.0
1996-06-10,6.75,6.8125,6.375,6.4375,769600,0.0,0.0
1996-06-11,6.375,6.625,6.125,6.125,812400,0.0,0.0
1996-06-12,6.125,6.21875,6.125,6.21875,572000,0.0,0.0
1996-06-13,6.25,6.28125,6.1875,6.1875,152400,0.0,0.0
1996-06-14,6.28125,6.28125,6.1875,6.28125,75600,0.0,0.0
1996-06-17,6.28125,6.3125,5.75,5.875,916800,0.0,0.0
